type,coordinates long,coordinates lat,category,name,info,area_total_m2,perimeter_total_m,area_perimeter_ratio_total
Feature,13.315601207129628,52.52045625472693,Grünanlage,Darwinstr. 2/Goslarer Ufer 1e - GA,Spreeuferanlage,1242.43,265.38,4.6818
Feature,13.295902539736375,52.53607283891841,Grünanlage,Charlottenburg Nord - Paul-Hertz-S. - GA,Grünzug U-Bahntrasse,5489.75,1112.24,4.9357
Feature,13.300625498298587,52.49596006815362,Grünanlage,Hochmeisterplatz - Grünanlage,,12700.32,763.56,16.6331
Feature,13.311456838408048,52.47904054896846,Grünanlage,Heidelberger Platz - Grünanlage,,3832.81,309.12,12.3993
Feature,13.314650214438306,52.46807294871593,Grünanlage,Ludwig-Barnay-Platz - Grünanlage,,4077.33,507.05,8.0413
Feature,13.315613084101088,52.47307088011413,Grünanlage,Rüdesheimer Platz - Grünanlage,,6390.25,546.73,11.688
Feature,13.335399514980232,52.47914334557677,Grünanlage,Kuppenheimer Str. - Grünanlage,Wexstr. bis Durlacher Str.,2303.16,217.73,10.5781
Feature,13.323700766790585,52.485433622478354,Grünanlage,Wilhelmsaue - Mittelpromenade - GA,Grünanlage,5105.1,609.48,8.3762
Feature,13.308780503643296,52.49155442430755,Grünanlage,Konstanzer Str. 24 - Grünanlage,,1112.05,336.77,3.3021
Feature,13.326004235954727,52.49420027862926,Grünanlage,Hohenzollernplatz - Grünanlage,,4369.21,387.75,11.2681
Feature,13.30293975881093,52.47214278705237,Grünanlage,Franz-Cornelsen-Weg - Grünanlage,Grünzug,8548.03,841.83,10.1541
Feature,13.310470690856054,52.534759369679044,Grünanlage,Lise-Meitner-Str. - Uferanlage - GA,Uferwanderweg,7803.12,1375.99,5.6709
Feature,13.297271701937758,52.51385508040481,Grünanlage,Hebbelstr./Otto-Grüneberg-Weg - GA,,9008.42,919.65,9.7955
Feature,13.247654082099634,52.51956499175529,Grünanlage,Rominter Allee - Grünanlage Bahnseite,Grünfläche Bahnseite,17325.1,1355.44,12.7819
Feature,13.316465111495871,52.520862372094236,Grünanlage,Goslarer Ufer/Südspitze - Grünanlage,Spreeufer-Grünanlage,801.51,137.27,5.8391
Feature,13.250479967456592,52.50959653370256,Grünanlage,Georg-Kolbe-Hain - Grünanlage,,26888.69,758.63,35.4436
Feature,13.306761689751156,52.54532605860309,Grünanlage,Adam-von-Trott-Str. - Grünanlage,Grünzug am Pfefferluchgraben,12259.62,1997.87,6.1363
Feature,13.329443512065852,52.518113003476266,Grünanlage,Hannah-Karminski-Str. - Grünanlage,Spreeuferanlage,6340.96,1107.12,5.7274
Feature,13.326996109203103,52.54067991107668,Grünanlage,Saatwinkler Damm - Grünanlage,ggb. Haus-Nr. 9-13,1258.54,382.66,3.289
Feature,13.320523081639067,52.489310749393084,Grünanlage,Pfalzburger Str. 35-38 - Grünanlage,,1097.22,299.51,3.6634
Feature,13.254399818455925,52.512340354137976,Grünanlage,Olympische Str. 33 - Grünanlage,Grünanlage am Friedhof,6363.77,1360.54,4.6774
Feature,13.279733641455806,52.528880836541255,Grünanlage,Spreewiesen - GA,Rahmengrün Kleingartenkolonie,5394.11,814.92,6.6192
Feature,13.303221282716942,52.54369405501199,Grünanlage,Pfefferluch - GA,Wasserverband,2922.99,1168.33,2.5019
Feature,13.23340552599061,52.52516434226029,Grünanlage,Hempelsteig - GA,Grünflächen am Friedhof,19562.77,1691.17,11.5676
Feature,13.289750843817668,52.51437593840426,Grünanlage,Danckelmannstr. 16 - Grünanlage,Block 128,4141.11,798.69,5.1849
Feature,13.31836511848122,52.520233362084376,Grünanlage,Dovestr. 1d - Grünanlage,Uferpromenade,2163.52,463.38,4.669
Feature,13.315055523922362,52.51964259919326,Grünanlage,Galvanistr. - Grünanlage,Grünzug an der Spree,8978.24,1050.61,8.5457
Feature,13.251517329200777,52.511271717101344,Grünanlage,Sensburger Allee - Grünanlage,"""Flohteich""-Anlage",8065.36,527.82,15.2806
Feature,13.313209231109973,52.48385320705477,Grünanlage,Volkspark Wilmersdorf - Fennseeanlage,Rudolstädter Str. bis Blissestr.,51825.04,3857.07,13.4364
Feature,13.420252177035243,52.46983747979032,Grünanlage,Oderstraße,,2253.59,438.98,5.1338
Feature,13.473600621240795,52.45919523786361,Grünanlage,Britzer Zweigkanal,,1227.16,398.09,3.0827
Feature,13.467285611897546,52.44038020891204,Grünanlage,Wendehalsweg,,1286.88,264.34,4.8683
Feature,13.424538658942314,52.471450574748424,Grünanlage,Kirchhofweg,,6362.95,1200.42,5.3006
Feature,13.49049764361908,52.412493324519545,Grünanlage,Rhodeländer Weg,,1153.26,374.18,3.0821
Feature,13.439485678277231,52.446432921080195,Grünanlage,Schloßgarten Britz,,24540.65,765.66,32.0514
Feature,13.419226130058586,52.43309791968122,Grünanlage,Britzer Garten,,845146.55,10728.89,78.773
Feature,13.421297973049086,52.41087531238601,Grünanlage,Drusenheimer Weg-Grünanlage,,27513.53,1824.94,15.0764
Feature,13.42692933597775,52.44683374005287,Grünanlage,Koppelweg-Grünanlage,,3228.86,251.81,12.8225
Feature,13.408553274643015,52.48692344531898,Grünanlage,Lilienthalstraße-Grünanlage,,1906.49,204.7,9.3134
Feature,13.41101773102952,52.41542677937801,Grünanlage,Künheimerweg 7,,1052.14,171.04,6.1515
Feature,13.424179651975326,52.49169839143277,Grünanlage,Kottbusser Damm,,654.93,271.18,2.4151
Feature,13.515650269051308,52.41160448199645,Grünanlage,Grünverbindung Ostburger Weg,,1521.34,596.07,2.5523
Feature,13.515752164872238,52.4202079072232,Grünanlage,Neudeckerweg-Grünanlage,,4467.9,281.76,15.8571
