type,coordinates long,coordinates lat,category,name,info,aktualisiert
Point,13.4286956,52.4771464,Sitzbank,Sitzbank,,2026-07-15
Point,13.3885394,52.5489747,Sitzbank,Sitzbank,,2026-07-15
Point,13.3885394,52.5489312,Sitzbank,Sitzbank,,2026-07-15
Point,13.3885451,52.5488877,Sitzbank,Sitzbank,,2026-07-15
Point,13.388548,52.5488476,Sitzbank,Sitzbank,,2026-07-15
Point,13.3885078,52.5490488,Sitzbank,Sitzbank,,2026-07-15
Point,13.3884872,52.5490791,Sitzbank,Sitzbank,,2026-07-15
Point,13.3884667,52.5491121,Sitzbank,Sitzbank,,2026-07-15
Point,13.3884433,52.5491513,Sitzbank,Sitzbank,,2026-07-15
Point,13.4473251,52.4459264,Sitzbank,Sitzbank,,2026-07-15
Point,13.2933316,52.5086842,Sitzbank,Sitzbank,,2026-07-15
Point,13.2219128,52.515436,Sitzbank,Sitzbank,,2026-07-15
Point,13.3265172,52.5099979,Sitzbank,Sitzbank,,2026-07-15
Point,13.3873884,52.5492975,Sitzbank,Sitzbank,,2026-07-15
Point,13.387487,52.5493673,Sitzbank,Sitzbank,,2026-07-15
Point,13.3259998,52.5437363,Sitzbank,Sitzbank,,2026-07-15
Point,13.3911209,52.4882838,Sitzbank,Sitzbank,,2026-07-15
Point,13.391133,52.4883272,Sitzbank,Sitzbank,,2026-07-15
Point,13.3911357,52.4883373,Sitzbank,Sitzbank,,2026-07-15
Point,13.443906,52.4468286,Sitzbank,Sitzbank,,2026-07-15
Point,13.443528,52.4471237,Sitzbank,Sitzbank,,2026-07-15
Point,13.4435363,52.4471792,Sitzbank,Sitzbank,,2026-07-15
Point,13.4429939,52.4486604,Sitzbank,Sitzbank,,2026-07-15
Point,13.4267592,52.4769374,Sitzbank,Sitzbank,,2026-07-15
Point,13.4277528,52.477031,Sitzbank,Sitzbank,,2026-07-15
Point,13.4313841,52.476192,Sitzbank,Sitzbank,,2026-07-15
Point,13.5342973,52.4321145,Sitzbank,Sitzbank,,2026-07-15
Point,13.2829891,52.5873765,Sitzbank,Sitzbank,,2026-07-15
Point,13.2044855,52.5143701,Sitzbank,Sitzbank,,2026-07-15
Point,13.4464001,52.4416148,Sitzbank,Sitzbank,,2026-07-15
Point,13.4464299,52.4416307,Sitzbank,Sitzbank,,2026-07-15
