type,coordinates long,coordinates lat,category,name,info
Point,13.431306,52.48985204,"Öffentlicher ""Kühler Raum""",Evangelische Kirchengemeinde *Nikodemus - Kulturkirche* im Reuterkiez,"Nansenstraße 12, 12047 Berlin | Di-Fr: 12:00 - 17:00 Uhr | nicht rollstuhlgerecht | Es gibt Spiele und Spielgeräte, WLAN sowie ein Café mit Snacks und Getränken. Die Mitnahme von Hunden ist erlaubt. Es erfolgt keine medizinische Betreuung."
Point,13.402238,52.56900504,"Öffentlicher ""Kühler Raum""",Rathaus Pankow,"Breite Str. 24a-26, 13187 Berlin | Mo - Fr: 06:00 - 19:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhlgerechter Zugang mittels Fahrstuhl über den Seiten- und Nebeneingang möglich. Es ist mindestens ein rollstuhlgerechtes WC und Trinkwasserzugang vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.467864,52.56053704,"Öffentlicher ""Kühler Raum""",Rathaus Weißensee,"Berliner Allee 252-260, 13088 Berlin | Mo - Fr: 06:00 - 19:00 Uhr | rollstuhlgerecht | Es gibt einen rollstuhlgerechten ebenerdigen Zugang zum Gebäude über einen Nebeneingang. Es ist ein Fahrstuhl innerhalb des Gebäudes vorhanden. Es ist mindestens ein rollstuhlgerechtes WC und Trinkwasserzugang vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.427298,52.54209504,"Öffentlicher ""Kühler Raum""",Campus Fröbelstraße,"Fröbelstr. 17 Haus 6, 10405 Berlin | Mo - Fr: 06:00 - 19:00 Uhr | rollstuhlgerecht | Es ist ein rollstuhgerechter Zugang mittels Fahrstuhl über den Nebeneingang zum Haus 6 möglich. Es ist ein rollstuhlgerechtes WC und Trinkwasserzugang vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.493983,52.63563704,"Öffentlicher ""Kühler Raum""",Stadtteilbibliothek Buch,"Wiltbergstraße 19-23, 13125 Berlin | Mo, Do, Fr: 13:00 - 19:00 Uhr; Di: 10:00 - 16:00 Uhr; Mi: 13:00 - 17:00 Uhr; Sa: 10:00 - 15:00 Uhr | rollstuhlgerecht | Es gibt einen rollstuhlgerechten Zugang mittels Fahrstuhl bzw. einen ebenerdigen Zugang über das Parkdeck. Es ist ein rollstuhlgerechtes WC und Trinkwasserzugang vorhanden. Die Bibliothek ist klimatisiert. Es erfolgt keine medizinische Betreuung."
Point,13.452696,52.54820804,"Öffentlicher ""Kühler Raum""",Familienzentrum Weißensee,"Mahlerstr. 4, 13088 Berlin | Mo, Di, Mi, Do: 10:00 - 17:30 Uhr, Fr: 10:00 - 16:30 Uhr | rollstuhlgerecht | Das Familienzentrum ist rollstuhlgerecht zugänglich. Es ist ein Fahrstuhl vorhanden, um alle Bereiche zu erreichen. Ein Trinkwasserzugang ist vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.407645,52.53120204,"Öffentlicher ""Kühler Raum""",Stadtteilzentrum Prenzlauer Berg,"Fehrbelliner Str. 92, 10119 Berlin | Mo - Do: 09:00 - 18:00 Uhr; Fr: 09:00 - 15:00 Uhr | eingeschränkt rollstuhlgerecht | Der Zugang ist barrierefrei in Hochparterre (1. Stock) durch einen Aufzug im Hof möglich. Die Türen dorthin können alle mit einem Türöffner geöffnet werden. Es ist ein barrierefreies WC sowie ein Wickeltisch vorhanden. Es gibt Trinkwasser, Sitzgelegenheiten, Toiletten, Unterhaltung/Spiele und W-LAN. Die Mitarbeiter*innen können auch vor Ort zur Unterstützung angefragt werden (Tel.: 030-44383 - 713). Es erfolgt keine medizinische Betreuung."
Point,13.314196,52.56754304,"Öffentlicher ""Kühler Raum""",Büro für Bürgerbeteiligung,"Scharnweberstraße 55a, 13405 Berlin | Di: 10:00 - 18:00 Uhr; Mi, Do: 10:00 - 17:00 Uhr | eingeschränkt rollstuhlgerecht | Es ist kein rollstuhlgerechtes WC vorhanden. Es erfolgt keine medizinische Betreuung."
Point,13.353569,52.59613704,"Öffentlicher ""Kühler Raum""",FACE Familienzentrum,"Wilhelmsruher Damm 159, 13439 Berlin | Mo, Mi, Fr: 08:00 - 16:00 Uhr; Di, Do: 10:00 - 18:00 Uhr | rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
Point,13.352208,52.60521704,"Öffentlicher ""Kühler Raum""",Stadtteilzentrum Ribbeck-Haus,"Senftenberger Ring 54, 13435 Berlin | Mo, Mi, Fr: 09:00 - 16:00 Uhr; Di, Do: 10:00 - 18:00 Uhr | rollstuhlgerecht | Es erfolgt keine medizinische Betreuung."
